구매id,리뷰날짜,구매옵션,리뷰내용,리뷰점수,수량,리뷰내용_length
hs87****,2020-02-27 15:37:05+00:00,휠체어 종류: 고급형알루미늄 휠체어,솔직리뷰할께요 휠체어 없었음 한달동안 어떻게 살았을지... 냥이랑 번갈아가면서 잘썼습니다^^,5,1,51
he****,2020-03-24 10:11:34+00:00,휠체어 종류: 고급형알루미늄 휠체어,"발목골절로 집안에서 쓰시라고 대여했는데
돈아깝다고 안하신다는거  억지로 대여했는데 화장실갈때나 거실에서 움직일때  한결 편하다고 넘 좋아하시네요  
대여하길 참 잘하거같아요~~^
감사합니다",5,1,105
tr****,2020-02-24 11:33:07+00:00,휠체어 종류: 고급형알루미늄 거상형휠체어,1월31일 사용기간 연장 계좌번호 연락주신다는 담당자분전화가 1달가까이 연락이 없어 또 전화를 했네요.. 관리를 안하시는건지 아니면 고객들에게 나중에 추가비용 나오면 담당자분은 책임을 지셔야겠지요.. 혹시 휠체어 사용하시는 분들은 이점 잘 챙기세요 담당자분은 사과도 안하시네요.. 아침부터 썩 기분이 좋지 않았습니다.,1,1,177
clif****,2020-03-31 10:58:42+00:00,휠체어 종류: 고급형알루미늄 휠체어,"벌써 두번째 사요했습니다.
깨끗하고 무엇보다고 바퀴굴림이 매끄럽고 좋습니다.
다만 처음에 의자와 등받이 가 같이 안와서 당황했어요..",5,1,74
coco*****,2020-03-07 02:55:25+00:00,휠체어 종류: 고급형알루미늄 거상형휠체어,"초등아들이 깁스중이라 대여했어요
개봉후 물티슈로 구석구석 닦아서 세워놓았어요
코로나19로 아직 사용전이라 개학하면 사용해볼려구요
제품상태는 소소",5,1,80
rhae********,2020-03-20 06:24:34+00:00,휠체어 종류: 고급형알루미늄 거상형휠체어,다리를 올려둘 수 있어서 편합니다 엉덩이는 좀 아프지만 어쩔수없죠ㅠ,5,1,37
redh****,2020-02-26 21:55:19+00:00,휠체어 종류: 고급형알루미늄 휠체어,"실내사용 목적이라 깨끗한 상품 보내주신다더니 어디서 온지 모를 머리카락 붙어있고 지저분해서 돈주고 빌리고 남편한테 욕먹었네요
반품 귀찮고 애 발다친 한달만 쓸거라 급한대로 닦아 사용합니다",3,1,104
dnjs******,2020-03-22 02:48:02+00:00,휠체어 종류: 고급형알루미늄 휠체어,발목수술후 집에서 이동용으로 사용하고 있습니다 편리하고 부드럽게 잘 굴러가네요 다만 손잡이 부분 테이프 뗀자리가 좀 끈적해요,4,1,69
jjun*****,2020-03-29 12:51:59+00:00,휠체어 종류: 고급형알루미늄 휠체어,"깨끗하고 좋아요
잘 사용했어요
실내에서 사용하기에 가볍고! . .",3,1,36
dmsw******,2020-03-12 10:32:49+00:00,휠체어 종류: 고급형알루미늄 거상형휠체어,상태는 좋지만 렌탈이다 보니깐 바퀴를 한번 닦아서 사용해야되요,3,1,34
ener*****,2020-03-03 11:09:27+00:00,휠체어 종류: 고급형알루미늄 휠체어,"와 완전 깨끗해서 깜놀
감사해요 한달동안 깔끔하게 잘 쓰고 
반납할게요 감사합니다",5,1,45
kjhg*****,2020-03-12 01:05:30+00:00,휠체어 종류: 고급형알루미늄 휠체어,"필요시기에 한달정도 너무 요긴하게 사용했어요
덕분에 발골절이 회복되는데 도움많이되었어요
필요하신분에게 홍보 하겠습니다",5,1,65
bban****,2020-03-08 09:47:09+00:00,휠체어 종류: 고급형알루미늄 휠체어,기대안했는데 너무 새것같고 깔끔해서 조았어여 끌때도 매끄럽고.가격도 싸고 조아여,4,1,44
hs87****,2020-01-21 12:33:54+00:00,휠체어 종류: 고급형알루미늄 휠체어,집안에서만 탈목적으로 주문했어요 발목골절로 퇴원후3일을 목발로 다녔는데 겨드랑이가 뜯어질것같이 아파서 알아보다가 무료대여는 관리도 잘안되어있고 재고 찾기도 힘들다해서 후기보고 주문했더니 세상에 이렇게 편할수가ㅠ 돈하나도 안아까워요 관리를 잘해서그런지 깨끗하고 바퀴도 힘안들이고 휙휙 잘굴러가고 대박!! 고민하지말고 주문하세요~,5,1,182
daln*****,2020-01-24 04:48:01+00:00,휠체어 종류: 고급형알루미늄 거상형휠체어,"아직 방학전인 중딩 딸아이가 발목골절로 깁스를 하게 되어 등교를 위해 부득이 흴체어를 임대하려고 몇 사이트를 검색하다가 대부분 새것같이 깔끔하고 부드럽게 움직인다는 후기를 보고 거상형을 임대했습니다.
후기처럼 상담하시는분은 친절하고 상세하게 안내해줘서 만족스러웠지만에 보내온 휠체어는 생각보다 많이 낡고 지저분해서 실망스럽더라구요.
물론 렌덤발송인건 알지만 한참 민감한 시기에 다리까지 불편하니 더 예민해져 있는지라 가급적 깨끗한걸로 보내달라 몇 번 부탁드렸는데 너무 기대에 못미쳤고 부피큰 물품을 반품하기도 번거로워 알콜로 소독하고 사용중입니다.
생각보다 바퀴는 원활하고 부드러워 사용에는 별문제 없습니다",3,1,339
kim9***,2020-02-03 16:29:18+00:00,휠체어 종류: 고급형알루미늄 휠체어,가볍고 무엇보다 너무 깨끗하게 와서 놀랬습니다. 바퀴도 깨끗하고 여기저기 너무 깨끗해서 사용할때도 오히려 더 조심스럽게 사용하게됩니다! 새것같은 느낌입니다!,5,1,87
clif****,2020-02-02 12:13:13+00:00,휠체어 종류: 고급형알루미늄 휠체어,한번 사용한 후 유용하여 재신청했는데 사진과 같은 휠체어가 왔습니다.이전에는 등과 엉덩이부분 받침도 같이 있던데 이게 제대로된것인가요? 새로이 신청한곳에는 사진을 첨부할수없어 이전 후기란에 작성합니다.,3,1,112
jink******,2020-02-21 04:11:49+00:00,휠체어 종류: 고급형알루미늄 휠체어,"우선 너무 친절하게 상담해주신 점에 대해 엄지척 드리고 싶습니다.
어머니께서 아주 만족하고 사용하였습니다.
너무 감사합니다.",5,1,69
bayn****,2020-02-16 03:03:15+00:00,휠체어 종류: 고급형알루미늄 거상형휠체어,엄니가 다리골절로 고생하시는데 모발도 힘들어하셔서 렌트했어요 편리합니다,5,1,39
choi********,2020-03-11 13:29:34+00:00,휠체어 종류: 고급형알루미늄 거상형휠체어,"깁스하고 활동하기 힘들었는데
대여해서 편하게 잘 사용했습니다",4,1,33
umta***,2020-03-01 01:15:49+00:00,휠체어 종류: 고급형알루미늄 휠체어,"어머니가 다리가 다쳐서 렌탈은 했어요. 
깔끔하고 편하다고 하시네요.",5,1,38
canc*****,2020-01-19 08:44:06+00:00,휠체어 종류: 고급형알루미늄 휠체어,오래되거나 많이 낡지는 않고 생각보다 깨끗해요저렴한 가격에 대여 잘했어요 깁스하고 목발집고 집에서 생활하기 불편했는데 훨씨 편해졌어요,4,1,74
to10*******,2020-02-26 05:16:01+00:00,휠체어 종류: 고급형알루미늄 거상형휠체어,갑작스런 통깁스로 힘들었는데 대여해서 너무 잘 사용하고 회복했습니다,5,1,37
hyey*****,2020-01-29 23:40:14+00:00,휠체어 종류: 고급형알루미늄 휠체어,휠체어 구입하려고 보다가 후기가 좋아서 대여했습니다. 다른분들 말씀대로 상태좋네요^^,5,1,47
lmy1***,2020-02-14 08:26:48+00:00,휠체어 종류: 고급형알루미늄 휠체어,정말 친절하시고 .너무 깨끗한 상품 와서 엄청 놀랬어요 . 반송도 편하고 쉽고  너무 감사드립니다,5,1,54
tndu*****,2020-01-20 06:19:56+00:00,휠체어 종류: 고급형알루미늄 거상형휠체어,"오른쪽 정강뼈 철심박고 병원 입원중인데
병원 휠체어보다 가볍고 좋아요.잘쓰고 있습니다",5,1,47
thsw******,2020-01-27 10:00:34+00:00,휠체어 종류: 고급형알루미늄 휠체어,"정말 하루만에 왔고 가볍고 튼튼해서 운전하기 편해요. 발목 수술해서 사용 중인데 너무 만족해요
감사합니다 잘 쓸게여!",5,1,65
star******,2020-01-19 12:45:08+00:00,휠체어 종류: 고급형알루미늄 휠체어,엄마께서 고관절 수술하여 집에서 사용하려고 대여했는데  튼튼하고 좋아요,5,1,39
lmy1***,2020-01-27 11:22:06+00:00,휠체어 종류: 고급형알루미늄 휠체어,너무 깨끗해서 새거온줄 알았어요. 발목수술하고 걱정했는데 대여해서 집에서 편히 잘지냈습니다~^^,5,1,53
sd****,2019-12-31 08:49:11+00:00,휠체어 종류: 고급형알루미늄 휠체어,한달간 잘사용하였습니다. 가볍고 튼튼하고 다른 휠체어보다 여러모로 만족합니다,5,1,42
lu****,2020-01-13 20:49:34+00:00,휠체어 종류: 고급형알루미늄 휠체어,좋아요~ 생각보다 무겁긴한데... 손잡이가 잡혀서 트렁크에도 들어가요..튼튼하고 좋습니다,5,1,49
jieu*****,2019-12-27 07:30:54+00:00,휠체어 종류: 고급형알루미늄 휠체어,급히 필요해서 주문했는데 깨끗한 상품으로 잘 왔어요 ㅎㅎ 덕분에 할머님 잘 모시고있습니다,5,1,49
bell*****,2019-12-17 12:41:12+00:00,휠체어 종류: 고급형알루미늄 휠체어,할머니가 거동이 불편하셔서 휠체어 알아보다가 구매했어요 가격도 저렴하고 깨끗한걸로 와서 잘 썼습니다,5,1,55
ykch*****,2020-01-15 13:03:14+00:00,휠체어 종류: 고급형알루미늄 휠체어,깨끗하고 편리. 친절. 다만 수거가 늦어져서 전화 여러번 해야하는 번거로움.,5,1,42
wood******,2020-01-15 01:33:41+00:00,휠체어 종류: 고급형알루미늄 거상형휠체어,"어머니가 발을 다치셔서 대여를 결정했는데, 너무 편하게 잘 사용하는 중입니다~!",5,1,44
dnwn*****,2019-12-21 10:16:23+00:00,휠체어 종류: 고급형알루미늄 휠체어,"새것인가 할정도로 깨끗한 휠체어를 보내주셨어요!
다 나을동안 정말 편하게 잘 사용했습니다.
회수도 딱 맞는 날짜에 오셔서 가져가주셔서 감사합니다~
번창하세요 :)",5,1,90
wjdd*****,2019-11-13 04:06:25+00:00,휠체어 종류: 고급형알루미늄 휠체어,"발목골절 수술하고 반깁스를 했는데 2주 이상 조심해야되서 휠체어를 대여했어요
공단에서 무료로 대여해준다고 해서 몇군데 전화했더니 재고가 없어서 어렵다고 하더라구요ㅜㅜ

마침 입원해있던 병원인근에 매장이 있어서 방문 수령했는데 다른 후기들 처럼 거의 새 제품 같아서 기분이 좋았네요ㅋㅋㅋ설명서가 없다는 후기도 있었는데 의자 뒷부분 주머니에 들어있어요!

거상형이 무슨 뜻인지 몰라서 1번 일반제품으로 대여했는데 정형외과 휠체어처럼 다리 올릴수 있는걸 찾으시면 2번 제품으로 해야해요
저는 교환할까 하다가 번거로워서 그냥 사용해요ㅎㅎ",5,1,296
keun****,2019-12-10 14:45:48+00:00,휠체어 종류: 고급형알루미늄 거상형휠체어,"아들이 대퇴부 골절이라서 휠체어 대여했는데
좋아요^^잘사용하고있습니다",5,1,38
mimi*****,2019-12-21 13:41:12+00:00,휠체어 종류: 고급형알루미늄 거상형휠체어,전화상담도 친절하셨고요 휠체어 덕분에 통깁스한신 친정엄마가 그래도 병원도다니고 외출도하실수있었어요 수거도 잘해가셨고 잘썼습니다,5,1,70
vchy****,2019-12-23 07:39:48+00:00,휠체어 종류: 고급형알루미늄 휠체어,"박스가 너무 더러워서 처음에 깜짝 놀랐는데..
안에 물건은 깨끗하고 상처하나 없네요!!
병원에서 쓰던 휠체어보다 너무 좋아요^^
회복기간동안 잘 쓰고 반납할께요!!",5,1,91
sehe*****,2019-12-01 03:55:38+00:00,휠체어 종류: 고급형알루미늄 휠체어,상태도 엄청 깨끗하고 좋아요! 튼튼하고 브레이크도 있고 안전벨트도 있어서 병원에서 쓰던거랑 차원이 다르네용..!,5,1,62
tjsd*****,2019-12-24 05:20:22+00:00,휠체어 종류: 고급형알루미늄 휠체어,"한 달동안 잘 사용했습니다.
불편한 다리때문에 움직이기 힘들었는데 집 안에서 자유롭게 다닐 수 있었습니다.ㅎㅎㅎ",5,1,62
leea****,2019-11-25 02:12:11+00:00,휠체어 종류: 고급형알루미늄 휠체어,"병실휠체어랑 패턴이달라서 확 알아볼수있고
분실위험이 적어요.
새거라서 너무 잘쓰고있어요",5,1,48
pupp****,2019-12-02 00:44:10+00:00,휠체어 종류: 고급형알루미늄 휠체어,"빨리 와주시고 넘 좋앗어요 
짧게 써서  아이가 금방 나아서 짧게 써서 불행중 다행이엇네요",5,1,50
tjsd*****,2019-11-26 08:27:01+00:00,휠체어 종류: 고급형알루미늄 휠체어,"한 달 동안 잘 사용했습니다.
갑자기 발목인대 수술을 하게되어 어떻게 움직일까 걱정했는데 집 안에서 목발이 아니고 휠체어로 안전하게 다녔어요. 감사합니다~~",4,1,87
libe******,2019-11-25 12:47:14+00:00,휠체어 종류: 고급형알루미늄 거상형휠체어,"최근에 발목인대수술을 받고 목발을 짚고다녔으나, 너무 손목이 아파 휠체어 대여를 하게되었네요.. 너무 유용하게 잘쓰구있구 깨끗한상품 보내주셔서 너무감사합니다!",5,1,88
jink******,2019-11-27 02:24:21+00:00,휠체어 종류: 고급형알루미늄 휠체어,실내에서 사용할꺼라 임대시 실내 실외 구분이 없어 좀 걱정하긴 했는데 너무 깨끗한 제품으로 보내주셔서 감사합니다. 잘쓰도록 하겠습니다.,5,1,75
kyeo******,2019-11-19 15:55:21+00:00,휠체어 종류: 고급형알루미늄 휠체어,가볍고 튼튼하고 적당히 크지도 않아서 아주 잘쓰고 있어요. 엄마가 한동안 여기 휠체어에 의지하면서 생활할거라 만족합니다,5,1,66
owll*****,2019-12-04 05:28:37+00:00,휠체어 종류: 고급형알루미늄 거상형휠체어,한달동안 편히 잘 썼어요~아이가 혼자 움직이기도 편했구요.,5,1,32
bunn*****,2019-10-05 17:44:21+00:00,휠체어 종류: 고급형알루미늄 휠체어,"거의 새제품이 왔어요! 정말 싼가격에 자가용을 얻은 기분이랄까요! 보름정도 사용중이고요
혼자생활하는데, 문앞까지 배달이와서 
바로 사용했어요!
목발이 너무 힘들어서 고생했는데, 타고 나가보니 너무너무 편안하고요 ㅠㅠ
이게 없었다면 전 정말 한발짝도 못나가고 갇혀살았을거예요!!! 
혼자 나다니기도 무리가 없어서 집앞쇼핑몰에도 자주가고 산책도 자주 나가고있어요!
외식도 하고요~ 좋은 사업해주셔서 너무너무 감사합니다!!
남은 기간 잘쓰고 잘닦아서 돌려드릴께요~",5,1,256
casp******,2019-11-12 05:58:38+00:00,휠체어 종류: 고급형알루미늄 휠체어,휠체어가 약 1.5주동안 필요해서 빌렸습니다. 제가 방문 픽업을 하기 위해서 시간을 계속 바꿨는 데도 불구하고 싫은 소리 하나 없으시면서 친절하게 픽업까지 기달려주셨습니다. 사장님께 계속 스케줄을 바꿔서 죄송 했지만 참 좋게 쓰다 갑니다 ㅎㅎ,5,1,135
biza*******,2019-10-31 04:59:02+00:00,휠체어 종류: 고급형알루미늄 휠체어,"튼튼해요~ 깨끗하고용~ 박스는 쫌 더러웠어요 ㅜㅠ한달 이용해보고 연장 할지, 생각해보려구용 ㅎㅎ",5,1,53
ssky****,2019-11-05 08:21:35+00:00,휠체어 종류: 고급형알루미늄 거상형휠체어,"상품은 깔끔하고 좋은데 집에서 누워있다보니 거의 안쓰게되네요.거상형이 넘 불편해요.딱딱한 플라스틱이라 석고깁스한 다릴 올려놓고 불편해요.고정이 안되고 짧고 암 필요없어요.
고정장치는 꼭 해야할듯요.고정장치 안하고 책꽂이에 책꽂다 앞으로 쏠려서 깁스한발이 꺽여서 다쳤네요..
다들 꼭 고정장치는 하시고 온전한 다리로 딛고 행동하세요.",2,1,185
mi****,2019-11-16 07:13:50+00:00,휠체어 종류: 고급형알루미늄 휠체어,"재활 방해되서 한달 못 채우고 3주쓰고 반납했지만,
너무 마음에 들었어요! 돈이 안아깝습니다.",5,1,52
ekfq*****,2019-11-20 21:33:56+00:00,휠체어 종류: 고급형알루미늄 휠체어,한달 잘 사용하고 반납했어요  다리가 불편해서 대여했는데 급할때 요긴하게 잘 사용했네요,4,1,48
koki*****,2019-11-25 22:58:59+00:00,휠체어 종류: 고급형알루미늄 휠체어,하나는 외출용으로 이건 집안용으로 빌렸어요 잘사용하고있습니다,5,1,33
wjdw******,2019-11-05 11:32:38+00:00,휠체어 종류: 고급형알루미늄 휠체어,아직 사용은 못하고 받아보고 타보기만했는데 깔끔하고 좋네요^^ 한달동안~ 잘사용할수있을것같아요^^ 감사합니다~,5,1,61
chlo*****,2019-11-06 19:02:06+00:00,휠체어 종류: 고급형알루미늄 휠체어,발가락 부러져서 시켰는데 너무 잘썼습니다. 이제 곧 반납해야해요 감사합니다! 번창하세요!,5,1,49
song****,2019-11-06 05:31:11+00:00,휠체어 종류: 고급형알루미늄 거상형휠체어,남편이 아킬레스건 수술 받으면서 렌트했는데 만족도가 높네요 밀어주는 사람도 브레이크를 잡을 수 있어요 만족합니다!!,5,1,64
giom****,2019-11-11 15:01:08+00:00,휠체어 종류: 고급형알루미늄 휠체어,"새것으로 보내주셔서, 임대라고 느끼지 못했습니다. 너무 감사히 잘 쓰겠습니다",5,1,42
j900***,2019-10-19 22:44:29+00:00,휠체어 종류: 고급형알루미늄 거상형휠체어,"방문해서 수령/반납 가능했고 수술 후 병원 안팎에서 7-8월 중간마다 잘 사용했어요. 한 달로 신청했는데 통깁스 푸는 날이 원래 기한보다 조금 늦어져서 문의하니 이틀 정도 더 양해해주셨던 기억이 납니다. 친절하셔서 더 좋았고요. 상품도 제가 이전 리뷰에 좋았던 점과 다소 아쉬운 점 적었겠지만, 전체적으로 이 가격에 아주 잘 사용했던 좋은 기억입니다^^ 항상 건강하고 행복하세요.",4,1,212
pjhs*****,2019-10-07 02:06:32+00:00,휠체어 종류: 고급형알루미늄 휠체어,"발가락을 다쳐서 걷기 힘들어서 대여했어요
무료대여는 대기가 너무 길어서 여기서 대여했는데 상태 깨끗하고 바뀌도 잘 굴러가서 좋네요~",4,1,73
ural***,2019-09-05 04:14:18+00:00,휠체어 종류: 고급형알루미늄 거상형휠체어,"아이가 편마비로 발목수술만 받았는데 통깁스를 해줘서 난감한 차에 휠체어를 이렇게 좋은 휠체어를 저렴하게 대여해주셔서 너무 감사하네요.
동네자치센터엔 휠체어가 아예 없고 
남양주복지관.의료보험공단에도 거상형은 없다고 ㅠㅠ이건 돈 문제가 아닌 시스템문제라고 봅니다. 

아이가 너무 좋아해요.
하물며 앉아서 자려고하네요~^^
잘 쓰고 반납하겠습니다.",5,1,193
jiyo******,2019-10-30 08:45:46+00:00,휠체어 종류: 고급형알루미늄 휠체어,급하게 필요해서 주문했는데 하루만에 보내주셔서 너무감사합니다. 잘쓰고 보내드리겠습니다.,5,1,48
naya****,2019-10-10 15:52:56+00:00,휠체어 종류: 고급형알루미늄 휠체어,"중학생 아이 다리수술후 대여했는데, 
새 상품이 와서 기분좋게 집안에서 편히 이동하며 사용하고있습니딘",5,1,56
jjw1***,2019-11-02 03:47:12+00:00,휠체어 종류: 고급형알루미늄 거상형휠체어,넘어져서 무릎이 골절되어 급하게 휠체어가 필요했는데 빨리 도착해서 넘 좋았어요~~~,5,1,46
wehy********,2019-10-27 03:11:35+00:00,휠체어 종류: 고급형알루미늄 휠체어,"아버지때문에사용하려고빌렸는데~ㅠ
한번도사용못하시고병원에들어가시네요
한달빌린거닌까그대로뒀다가반납하렵니다",5,1,56
chw8***,2019-10-22 04:36:46+00:00,휠체어 종류: 고급형알루미늄 휠체어,"대여인데 새상품을 보내주셨더라구욤
부드럽게 잘 굴러가요 턱은 좀힘들구요.
병원 휠체어보다 훨 좋아요",5,1,55
moon******,2019-10-29 15:05:01+00:00,휠체어 종류: 고급형알루미늄 거상형휠체어,깨끗하고 맘에 들어요. 근데 보관상자가 상태가 너무 엉망이예요,5,1,34
komo****,2019-10-22 23:41:12+00:00,휠체어 종류: 고급형알루미늄 거상형휠체어,온 휠체어는 거의 새거네요 단지 처음에 다리 걸치대가 1개만 와서 바로 조치가 된점은 약간의 아쉬움은 있네요,4,1,60
thdw****,2019-09-25 06:51:59+00:00,휠체어 종류: 고급형알루미늄 휠체어,목발은 어깨.등이 아파서 대여했는데.. 목발보단 편한듯하네요. 병원에 있는동안  살이 빠져서 그런지 엉덩이 쿠션감은 그리 좋지는 않네요.,4,1,76
ro****,2019-10-04 01:56:08+00:00,휠체어 종류: 고급형알루미늄 휠체어,"여기에서 휠체어를 써본 소감입니다
우선 처음 받을때 신제품인가 할정도로 깨끗했습니다
병원에서의 지저분한 휠체어가 아닙니다
바로 방으로 들여서 사용했습니다
반납을 하려는데 계속 통화중이 걸려 
혹 더 쓰게 할려고 고의로? 
하는 생각이 잠깐들었는데 기우였습니다
최고의 친절로 응대해줬습니다
다시 아파서 여기서 다시 대여 받고싶다는 생각이 들정도로..
(저 영업사원 아닙니다. 자주 비실거리는 늙은이입니다)",5,1,225
kang*******,2019-10-06 12:56:47+00:00,휠체어 종류: 고급형알루미늄 휠체어,물건두 새것으로 보내주시고 바퀴도 잘 움직이고 너무 편하게 잘 사용하고 있습니다.,5,1,45
love********,2019-10-15 13:31:54+00:00,휠체어 종류: 고급형알루미늄 휠체어,튼튼하고 좋아요! 생각보다 저렴한 가격도 만족스럽습니다 :),5,1,33
j900***,2019-08-14 01:39:47+00:00,휠체어 종류: 고급형알루미늄 거상형휠체어,"발등 골절로 수술하고 깁스생활하는데 긴 기간 병원을 비롯하여 집에서도 잘 쓰고 있습니다. 
전체적으로 의자쿠션이 병원 휠체어보다 푹신해서 좋고 밀어주는 사람이 브레이크 걸거나 턱을 넘을 때 밟을 수 있는 제동장치 있어 좋습니다. 
아쉬운 점은 거상형이다보니 그럴 수도 있는데.. 양쪽에 있는 발*다리 거치대 2개 높이가 앞쪽 미니바퀴와 바로 맞닿아있어 휠체어를 타고 움직이려 할 때 거치대와 바퀴의 움직임이 서로 걸려서 한쪽이 안 움직여요. 다시 바퀴방향을 잡아줘야 하는데 간단합니다.
그리고 걸리는 것과 더불어 거상형 높낮이를 조절하는 부분이 완전히 높아지거나 낮아지는게 아니라서 조금 아쉽더라고요. 발을 다친 분들은 발이 아래로 쏠리지 않고 높여놔야 하는데 (계속 부어서) 조금 아쉽게 올라가네요.
그리고 안 쓸 때는 내리는데 손으로 잡아서 쭉 내려야 하는데 한 번에 되지 않고 걸리고 처음 구멍에 딱 맞아 떨어져야 완전 내려가는데 그게 좀 아쉽네요.
글로만 쓰니 좀 이해 어려울 수 있지만.. 혹 저처럼 발 다친 분 도움되실까 하여 남깁니다.
근데 이 두 가지 아쉬운 것 치고는 깨끗한 상태, 대여료, 편안한 쿠션감, 밀어주는 사람이 편한 것 등 장점도 좋아서 추천입니다. 
더 비싼 것들도 많겠지만 이 가격에 만족합니다~~ 그리고 친절하셔서 좋아요^^ 번창하세요.",4,1,655
lys6*****,2019-10-23 22:12:42+00:00,휠체어 종류: 고급형알루미늄 거상형휠체어,"휠체어 깨끗한거 받아서 
신랑 수술하고 잘사용햇어요^^",5,1,30
suny****,2019-10-08 12:53:25+00:00,휠체어 종류: 고급형알루미늄 거상형휠체어,"급해서 매장 수령했어요 휠체어 상태 괜찮고 깨끗했어요
그래도 좀 자세한 설명서가 있거나 했으면 더 좋았을 뻔해서 별 하나 뺍니다",4,1,71
blue*****,2019-10-05 13:44:16+00:00,휠체어 종류: 고급형알루미늄 휠체어,"새 것 같은 좋은 제품 보내주셔서 아주 잘 쓰고 반납합니다.
앞으로도 번창하시길 기원합니다.",5,1,51
jw****,2019-10-17 01:38:07+00:00,휠체어 종류: 고급형알루미늄 휠체어,"임대대여 서비스는 좋았으나..
회수 서비스는 엉망입니다.",3,1,31
bcs8***,2019-10-08 05:19:13+00:00,휠체어 종류: 고급형알루미늄 휠체어,대여제품이라 부실한상태일까봐 걱정했는데 병원서 쓰던것보다 상태좋고 깨끗해서 만족합니다,4,1,47
kyeo******,2019-10-12 05:21:38+00:00,휠체어 종류: 고급형알루미늄 휠체어,크기가 적당하고 여러 기능이 있어 잘 사용하고 있어요.,5,1,30
navy********,2019-09-15 05:45:00+00:00,휠체어 종류: 고급형알루미늄 휠체어,"정말 새것같은 제품이 도착했을땐 내가 주문을 구매로 했나 착각할 정도로 깨끗했어요
리스제품으론 최고에요
갑자기 필요하신분이나 아프신 분들 께 적극 추천합니다",5,1,87
nati*******,2019-09-18 23:54:10+00:00,휠체어 종류: 고급형알루미늄 거상형휠체어,"한달간 부모님께서 매우 만족하셨습니다
부담없는 가격에 매우 깨끗한제품을 편하게 썼습니다 감사합니다",5,1,54
grac*****,2019-09-02 23:11:35+00:00,휠체어 종류: 고급형알루미늄 휠체어,"새 상품이 왔네요~
집안에서 사용하려고 구매했는데 만족스럽습니다.",5,1,36
o3os***,2019-09-18 16:02:47+00:00,휠체어 종류: 고급형알루미늄 휠체어,정말 편하게 잘썼네요.. 휠 청소도 다 되어서 오기 때문에 집에서도 이용하는데 문제 없었어요. 감사합니다~,5,1,59
yeod******,2019-09-25 12:33:17+00:00,휠체어 종류: 고급형알루미늄 휠체어,"새것치럼 깨끗한 물건을 받아 좋았습니다.
다만 사용 3일만에 나사가 빠져 좀 불편했네요",4,1,48
silv********,2019-08-30 14:16:08+00:00,휠체어 종류: 고급형알루미늄 휠체어,"다리 골절로 목발로 다니기 불편해서 주문했습니다
너무 깨끗하고 좋은 제품으로 보내주셔서 감사합니다~",5,1,55
suzy****,2019-08-23 11:46:37+00:00,휠체어 종류: 고급형알루미늄 휠체어,쿠션도 푹신하고 바퀴도 부드럽네요. 깨끗한 상품으로 보내줘서 한달 동안 잘 썼습니다.,5,1,47
didt*****,2019-08-30 00:03:01+00:00,휠체어 종류: 고급형알루미늄 휠체어,깨끗한상품 잘 왔습니다. 깁스해서 집에서 쓰고있는대 진작 주문할걸 그랬어요,5,1,41
tlsg********,2019-09-07 12:15:53+00:00,휠체어 종류: 고급형알루미늄 휠체어,"진짜 깨끗하고 거의 새것, 기능도 좋아서 스스로 운전하기 편하고, 뒤에서 밀어주는 사람용 브레이크 따로 있어서 편해요",5,1,65
akar******,2019-09-04 13:03:17+00:00,휠체어 종류: 고급형알루미늄 휠체어,휠체어 상태는 좋으나 바퀴에 바람이 다 빠져있어 집 근처 자전거판매점에서 넣어왔습니다. 바퀴상태도 확인바랍니다.,3,1,62
dodo***,2019-08-15 08:43:12+00:00,휠체어 종류: 고급형알루미늄 거상형휠체어,병원퇴원 하고 하루만에 도착해서 받았어요~포장박스는 잘 보관해뒀구요~ 다리 깁스풀때까지 실내에서 이동수단 고민 하다가... 훨체어 렌탈을 떠올리고 결정 했어요~다리가 불편한 저에게 많은 도움이 되줄거 같아요~깨끗하게 사용잘하고 돌려드릴께요~감사합니다~~^^,5,1,143
nymp****,2019-08-28 00:51:40+00:00,휠체어 종류: 고급형알루미늄 휠체어,체구가 크신 남성분들은 모르겠으나 일반적인 성인 여성에게는 적당한 사이즈 입니다.얇은 방석이 안정감도 있고 휠체어도 깨끗하게 잘 오고 잘 굴러가요 잘사용하겠습니다 감사합니다~,5,1,97
cher***,2019-09-09 07:43:56+00:00,휠체어 종류: 고급형알루미늄 휠체어,너무 잘 사용했어요 이제 사용안하는데 반납은 어떻게 해야할까요?,5,1,35
lbsk****,2019-08-31 22:45:52+00:00,휠체어 종류: 고급형알루미늄 거상형휠체어,목발만 사용하기 힘들어서 신청했습니다. 집 안에서만 사용했구요. 깨끗하고 부드러워서 만족하며 사용했습니다.,5,1,59
mask*****,2019-08-23 03:13:01+00:00,휠체어 종류: 고급형알루미늄 휠체어,"잘받았습니다.처음 왔을때 오래된은 있지만
가볍고 잘움직입니다.",5,1,34
youp*****,2019-08-17 07:37:25+00:00,휠체어 종류: 고급형알루미늄 휠체어,쿠션도 너무 편했고 깨끗해서 한달 잘썼습니다. 반납도 너무 편하네요,5,1,37
chun*******,2019-09-03 07:33:40+00:00,휠체어 종류: 고급형알루미늄 거상형휠체어,잘 받아서 쓰고 있습니다. 한달 연장 희망하는데 문자 안내 주신다고 하셔서 기다리고 있습니다,5,1,51
